DateTime,SpConductivity
2017-09-28 09:46:41,461.72
2017-09-28 10:02:16,461.76
2017-09-28 10:17:26,462.03
2017-09-28 10:32:36,462.18
2017-09-28 10:46:41,462.22
2017-09-28 11:02:16,462.36
2017-09-28 11:17:26,462.54
2017-09-28 11:32:36,462.59
2017-09-28 11:46:41,462.69
2017-09-28 12:02:16,462.95
2017-09-28 12:17:26,463.23
2017-09-28 12:32:36,463.56
2017-09-28 12:46:41,463.82
2017-09-28 13:02:16,464.03
2017-09-28 13:17:26,464.02
2017-09-28 13:32:36,464.12
2017-09-28 13:46:41,464.37
2017-09-28 14:02:16,464.86
2017-09-28 14:17:26,465.6
2017-09-28 14:32:36,465.94
2017-09-28 14:46:41,466.15
2017-09-28 15:02:16,466.43
2017-09-28 15:17:26,466.71
2017-09-28 15:32:36,466.87
2017-09-28 15:46:41,467.08
2017-09-28 16:02:16,467.17
2017-09-28 16:17:26,467.4
2017-09-28 16:32:36,467.58
2017-09-28 16:46:41,468.21
2017-09-28 17:02:16,468.63
2017-09-28 17:17:26,468.89
2017-09-28 17:32:36,469.31
2017-09-28 17:46:41,469.3
2017-09-28 18:02:16,469.74
2017-09-28 18:17:26,470.08
2017-09-28 18:32:36,470.2
2017-09-28 18:46:41,470.04
2017-09-28 19:02:16,470.25
2017-09-28 19:17:26,470.14
2017-09-28 19:32:36,470.37
2017-09-28 19:46:41,470.48
2017-09-28 20:02:16,470.53
2017-09-28 20:17:26,470.61
2017-09-28 20:32:36,470.45
2017-09-28 20:46:41,470.72
2017-09-28 21:02:16,470.71
2017-09-28 21:17:26,470.72
2017-09-28 21:32:36,470.91
2017-09-28 21:46:41,470.89
2017-09-28 22:02:16,471.05
2017-09-28 22:17:26,470.7
2017-09-28 22:32:36,470.66
2017-09-28 22:46:41,470.63
2017-09-28 23:02:16,470.46
2017-09-28 23:17:26,470.41
2017-09-28 23:32:36,470.31
2017-09-28 23:46:41,470.32
2017-09-29 00:02:16,470.27
2017-09-29 00:17:26,470.23
2017-09-29 00:32:36,470.44
2017-09-29 00:46:41,470.37
2017-09-29 01:02:16,470.51
2017-09-29 01:17:26,470.42
2017-09-29 01:32:36,470.63
2017-09-29 01:46:41,470.84
2017-09-29 02:02:16,470.7
2017-09-29 02:17:26,470.89
2017-09-29 02:32:36,470.94
2017-09-29 02:46:41,471.26
2017-09-29 03:02:16,471.12
2017-09-29 03:17:26,471.3
2017-09-29 03:32:36,471.26
2017-09-29 03:46:41,471.31
2017-09-29 04:02:16,471.38
2017-09-29 04:17:26,471.19
2017-09-29 04:32:36,471.45
2017-09-29 04:46:41,471.42
2017-09-29 05:02:16,471.24
2017-09-29 05:17:26,471.23
2017-09-29 05:32:36,471.35
2017-09-29 05:46:41,471.3
2017-09-29 06:02:16,471.38
2017-09-29 06:17:26,471.43
2017-09-29 06:32:36,471.69
2017-09-29 06:46:41,471.53
2017-09-29 07:02:16,471.5
2017-09-29 07:17:26,471.56
2017-09-29 07:32:36,471.57
2017-09-29 07:46:41,471.49
2017-09-29 08:02:16,471.37
2017-09-29 08:17:26,471.18
2017-09-29 08:32:36,471.4
2017-09-29 08:46:41,471.56
2017-09-29 09:02:16,471.46
2017-09-29 09:17:26,471.4
2017-09-29 09:32:36,471.33
2017-09-29 09:46:41,471.48
2017-09-29 10:02:16,471.14
2017-09-29 10:17:26,471.13
2017-09-29 10:32:36,471.05
2017-09-29 10:46:41,470.93
2017-09-29 11:02:16,471.1
2017-09-29 11:17:26,470.99
2017-09-29 11:32:36,470.91
2017-09-29 11:46:41,471.01
2017-09-29 12:02:16,470.94
2017-09-29 12:17:26,470.88
2017-09-29 12:32:36,470.94
2017-09-29 12:46:41,470.66
2017-09-29 13:02:16,470.44
2017-09-29 13:17:26,470.67
2017-09-29 13:32:36,470.77
2017-09-29 13:46:41,470.67
2017-09-29 14:02:16,470.68
2017-09-29 14:17:26,470.8
2017-09-29 14:32:36,470.72
2017-09-29 14:46:41,470.79
2017-09-29 15:02:16,470.93
2017-09-29 15:17:26,471.02
2017-09-29 15:32:36,471.0
2017-09-29 15:46:41,470.99
2017-09-29 16:02:16,471.15
2017-09-29 16:17:26,471.46
2017-09-29 16:32:36,471.34
2017-09-29 16:46:41,471.73
2017-09-29 17:02:16,471.76
2017-09-29 17:17:26,471.86
2017-09-29 17:32:36,472.01
2017-09-29 17:46:41,471.93
2017-09-29 18:02:16,472.11
2017-09-29 18:17:26,472.22
2017-09-29 18:32:36,472.41
2017-09-29 18:46:41,472.15
2017-09-29 19:02:16,471.94
2017-09-29 19:17:26,471.95
2017-09-29 19:32:36,471.67
2017-09-29 19:46:41,471.58
2017-09-29 20:02:16,471.4
2017-09-29 20:17:26,471.3
2017-09-29 20:32:36,471.07
2017-09-29 20:46:41,470.69
2017-09-29 21:02:16,470.63
2017-09-29 21:17:26,470.53
2017-09-29 21:32:36,470.6
2017-09-29 21:46:41,470.61
2017-09-29 22:02:16,470.75
2017-09-29 22:17:26,470.88
2017-09-29 22:32:36,470.98
2017-09-29 22:46:41,471.26
2017-09-29 23:02:16,471.18
2017-09-29 23:17:26,471.21
2017-09-29 23:32:36,471.36
2017-09-29 23:46:41,471.36
2017-09-30 00:02:16,471.53
2017-09-30 00:17:26,471.69
2017-09-30 00:32:36,471.91
2017-09-30 00:46:41,472.13
2017-09-30 01:02:16,472.21
2017-09-30 01:17:26,472.42
2017-09-30 01:32:36,472.59
2017-09-30 01:46:41,472.82
2017-09-30 02:02:16,472.95
2017-09-30 02:17:26,473.07
2017-09-30 02:32:36,473.06
2017-09-30 02:46:41,473.17
2017-09-30 03:02:16,473.39
2017-09-30 03:17:26,473.42
2017-09-30 03:32:36,473.33
